sim_id,beta_true,n,beta_ols,cover_ols,beta_odr,beta_deming,cover_deming,beta_theilsen,beta_huber,cover_huber,beta_quantile,cover_quantile,beta_sma,beta_majoraxis,beta_rma,beta_pbablok,beta_ridge,beta_lasso,beta_enet,beta_adaptive_lasso,beta_rf,beta_gb,beta_xgb,beta_lgb,beta_svm_linear,beta_svm_rbf,beta_gp,beta_lmer_int,se_lmer_int,cover_lmer_int,var_habitat,var_residual,beta_lmer_slope,se_lmer_slope,beta_clustered,se_clustered,beta_ensemble,beta_trimmed,beta_median
1,0.6,36,0.5585465129064063,1,0.6041177247736687,0.39329689071453455,1,0.5925470329188369,0.58569729561941,1,0.6346042039087295,1,0.7994518312960475,0.7340858826262993,0.7994518312960475,0.5299443175236744,0.48490483909771004,0.4883744179615353,0.4909198188671992,0.12254692527038956,1.0,1.0,1.0,0,0.8158615860954243,0.3122866562218344,,0.558546512906406,0.09532823755068262,1,1.1661672568053927e-05,0.26045843196976737,0.558546512906406,0.09532823755068262,0.5585465129064063,0.588551683106558,0.5922729263398682,0.6052489673971881,0.5585465129064063
2,0.6,36,0.7062997766978423,1,0.7472188442995042,0.5421246877411002,1,0.6673310094957682,0.6593398320480058,1,0.6320545349303175,1,0.8641968155587838,0.8408261818360687,0.8641968155587838,0.685115427318808,0.5952466339311794,0.6017812626514899,0.6037624503994924,0.2266854832686878,1.0,1.0,1.0,0,0.7225269749393843,0.39892674791743504,,0.7062997766978432,0.08299544188597212,1,8.330050046020584e-06,0.18604807848262236,0.7062997766978432,0.08299544188597212,0.7062997766978423,0.5124096308419752,0.6728927308124427,0.6973603855482892,0.7062997766978423
3,0.6,36,0.5419067738807732,1,0.5720459248915858,0.36399815280264536,1,0.5208950374235036,0.5310342325429115,1,0.49691489085225515,1,0.7216438575823917,0.6585990183460865,0.7216438575823917,0.5198219871908707,0.4572445270753338,0.4599457639385376,0.4626326009338683,0.10274919133390767,1.0,1.0,1.0,0,0.7095867515533514,0.3130262424284554,,0.5419067738807727,0.07942622460996394,1,7.647140694884135e-06,0.1707955923838253,0.5419067738807727,0.07942622460996394,0.5419067738807732,0.49037346517751723,0.5556264840000515,0.5619294705614358,0.5419067738807727
4,0.6,36,0.4437718962826893,1,0.49255237736634744,0.22941043744022047,0,0.4685582986332196,0.4791653954542961,1,0.5487346735473857,1,0.7840653650284466,0.6633979357899462,0.7840653650284466,0.453965350915429,0.351919540404417,0.35169508319342857,0.35492048078948124,0.04684497484958999,1.0,1.0,1.0,0,0.6250718033695788,0.22815901210415865,,0.44377189628269026,0.10773230722320454,1,1.242746257435632e-05,0.27756202179406253,0.44377189628269026,0.10773230722320454,0.4437718962826893,0.665133777465036,0.5059832034367457,0.504777300220819,0.453965350915429
5,0.6,36,0.6029864112573279,1,0.6731323499985915,0.37543078842893013,1,0.6262933384572038,0.6150749419254523,1,0.6545624267505024,1,0.907060598990651,0.8672698613813197,0.907060598990651,0.607605200720618,0.45151808955442996,0.45406025870871947,0.4567763768245965,0.09893690677969261,1.0,1.0,1.0,0,0.6938420680480434,0.3075372893163798,,0.6029864112573282,0.11293635352124062,1,1.2176603095626223e-05,0.2719591834251347,0.6029864112573282,0.11293635352124062,0.6029864112573279,0.6972632942416908,0.613395945213265,0.6320615701644947,0.607605200720618
6,0.6,36,0.30303239317451636,0,0.33104037656729024,0.07062353182131284,0,0.3115608075907107,0.2837818685957326,0,0.4523601909366813,1,0.6623874046951006,0.4452561688307728,0.6623874046951006,0.3168536151366852,0.23807447191310196,0.2346876516884659,0.23849517580941879,0.014503451061250847,1.0,1.0,1.0,0,0.5493413113229287,0.16905384243890675,,0.3030323931745157,0.09816771965842107,0,1.0127641571740156e-05,0.22619651065836666,0.3030323931745157,0.09816771965842107,0.30303239317451636,0.6060825010110836,0.3996755150348488,0.3777912313021196,0.30303239317451636
7,0.6,36,0.4465306051049388,1,0.5158749454119781,0.1777122295362152,0,0.39514610525393956,0.41911510087247017,1,0.4238281634100936,1,0.8763340155877255,0.7788050845499126,0.8763340155877255,0.42802883909828304,0.3201441519298942,0.3190370450390578,0.32242492043687343,0.03526708655478403,1.0,1.0,1.0,0,0.4496377733294029,0.2598825956303621,,0.44653060510493925,0.12567282539956295,1,1.3822761406363608e-05,0.30872541998527997,0.44653060510493925,0.12567282539956295,0.4465306051049388,0.7758976228879173,0.49494323881080327,0.4920224950575626,0.4465306051049388
8,0.6,36,0.4729816862754616,1,0.5196873165045647,0.23428964582962591,0,0.41983391810058746,0.3821721761966725,0,0.27740108371960087,0,0.778018524321184,0.6734982911043781,0.778018524321184,0.40325738672835515,0.35564852879714093,0.35552765459706165,0.3587339846736932,0.04834993718985343,1.0,1.0,1.0,0,0.43855857817193344,0.2395008320075292,,0.4729816862754616,0.1029564563615412,1,1.0204316584140045e-05,0.22790901402206826,0.4729816862754616,0.1029564563615412,0.4729816862754616,0.6356479175024675,0.4849749185810962,0.4792670100092294,0.43855857817193344
9,0.6,36,0.5867317252078242,1,0.6556609790896281,0.3958720484500584,1,0.5855772085230077,0.5664554323750051,1,0.6514574270365686,1,0.8973591119306309,0.8515842306796105,0.8973591119306309,0.5959002084049082,0.47569901573984685,0.47891287728817605,0.4815053505354986,0.11569900475633008,1.0,1.0,1.0,0,0.6661178345449259,0.3451489678074913,,0.5867317252078239,0.1131615436247841,1,1.4331988711503386e-05,0.3200987924323154,0.5867317252078239,0.1131615436247841,0.5867317252078242,0.6986536064709395,0.6090102482575483,0.6258703529035413,0.5867317252078242
10,0.6,36,0.6356018909484503,1,0.6715464415877704,0.5101316098923809,1,0.6889289513804182,0.656678590001426,1,0.7270697191705326,1,0.8006021315985914,0.7624229639127391,0.8006021315985914,0.6818755524847313,0.6096736015502566,0.6166089793710967,0.6185163973841759,0.24357069591167682,1.0,1.0,1.0,0,0.8549982970713369,0.5675727463659038,,0.6356018909484503,0.08113329384807352,1,1.0312073623452626e-05,0.23031572106447307,0.6356018909484503,0.08113329384807352,0.6356018909484503,0.500912823704257,0.6675307118728447,0.6899808251138817,0.656678590001426
